ï»¿Title,Copyright Year,Contributors,Publisher,Description,License,ISBN13
Kansas State University Human Nutrition Flexbook,2018,"Brian Lindshield, Kansas State University - Author",,"The Kansas State University Human Nutrition (FNDH 400) Flexbook is a textbook for students taking Kansas State University FNDH 400 course.FNDH 400 is a 3-hour, intermediate-level, human nutrition course at Kansas State University take primarily by sophomores and juniors because it has prerequisites of a college biology and chemistry courses.",Attribution,
Fundamentals of Business: Canadian Edition,2018,Multiple Contributers - Author,BCcampus,"An introductory textbook in business that covers a variety of topics: The Foundations of Business, Economics and Business, Ethics and Social Responsibility, Business in a Global Environment, Forms of Business Ownership, Entrepreneurship: Starting a Business, Management and Leadership, Structuring Organizations, Operations Management, Motivating Employees, Managing Human Resources, Union/Management Issues, Marketing: Providing Value, Accounting and Financial Information, and Personal Finances.",Attribution-NonCommercial-ShareAlike,
eMarketing - The Essential Guide to Online Marketing,2012,"Rob Stokes - Author
Saylor Academy - Author",BCcampus,"eMarketing: The Essential Guide to Online Marketing is a textbook intended for third and fourth year marketing students and draws on both academic theory and practical experience. The book offers students information that is applicable to the eMarket industry by providing examples that are easily relatable. The book covers all of the important aspects of online marketing, including the areas associated with search engine marketing, affiliate marketing, web analytics and conversion optimization, web development, online copywriting, online advertising, webPR, online reputation management, pay per click advertising, viral marketing, social media marketing, search engine optimization, eMarketing strategy, market research, mobile marketing, crowd sourcing, and customer relationship management. The book also features summaries, learning objectives and discussion points for each chapter, as well as, a glossary and index.",Attribution-NonCommercial-ShareAlike,
Research Methods in Psychology (New Zealand edition),2018,"Paul C. Price, California State University - Author
Rajiv S. Jhangiani, Kwantlen Polytechnic University - Author",Independent,"This textbook is an adaptation of the Research Methods in Psychology that is available on this site in US and Canadian editions. This New Zealand edition is an adaptation to the New Zealand context. The main changes are in Chapters 1 and 3 and the spelling, grammar, and terminology are changed throughout. This textbook is adopted at the University of Waikato in our 200-level research methods in psychology class.",Attribution-NonCommercial-ShareAlike,
Inferring and Explaining,2019,"Jeffery L. Johnson, Portland State University - Author",Portland State University Library,"Inferring and Explaining is a book in practical epistemology. It examines the notion of evidence and assumes that good evidence is the essence of rational thinking. Evidence is the cornerstone of the natural, social, and behavioral sciences. But it is equally central to almost all academic pursuits and, perhaps most importantly, to the basic need to live an intelligent and reflective life. The book further assumes that a particular model of evidenceâ€” Inference to the Best Explanationâ€”not only captures the essence of (good) evidence but suggests a very practical, and pedagogically useful, procedure for evidence evaluation. The book is intended primarily for two sorts of introductory courses. First and foremost are courses in critical thinking (or informal or practical logic). In addition, however, the book has application in more general courses (or major sections of courses) in introductory philosophy.",Attribution,9783944675473
Health Education,2018,College of the Canyons - Author,Independent,"Readers will learn about the nature of health, health education, health promotion and related concepts. This will help to understand the social, psychological and physical components of health.",Attribution,9783946234630
A grammar of Pite Saami ,2014,Joshua Wilbur - Author,Language Science Press,"Pite Saami is a highly endangered Western Saami language in the Uralic language family currently spoken by a few individuals in Swedish Lapland. This grammar is the first extensive book-length treatment of a Saami language written in English. While focusing on the morphophonology of the main word classes nouns, adjectives and verbs, it also deals with other linguistic structures such as prosody, phonology, phrase types and clauses. Furthermore, it provides an introduction to the language and its speakers, and an outline of a preliminary Pite Saami orthography. An extensive annotated spoken-language corpus collected over the course of five years forms the empirical foundation for this description, and each example includes a specific reference to the corpus in order to facilitate verification of claims made on the data. Descriptions are presented for a general linguistics audience and without attempting to support a specific theoretical approach, but this book should be equally useful for scholars of Uralic linguistics, typologists, and even learners of Pite Saami.",Attribution,9783961101252
A grammar of Moloko ,2017,Dianne Friesen - Author,Language Science Press,"This grammar provides the first comprehensive grammatical description of Moloko, a Chadic language spoken by about 10,000 speakers in northern Cameroon. The grammar was developed from hours and years that the authors spent at friendsâ€™ houses hearing and recording stories, hours spent listening to the tapes and transcribing the stories, then translating them and studying the language through them. Time was spent together and with others speaking the language and talking about it, translating resources and talking to Moloko people about them. Grammar and phonology discoveries were made in the office, in the fields while working, and at gatherings. In the process, the four authors have become more and more passionate about the Moloko language and are eager to share their knowledge about it with others.",Attribution,
A grammar of Komnzo ,2018,Christian DÃ¶hler - Author,Language Science Press,"Komnzo is a Papuan language of Southern New Guinea spoken by around 250 people in the village of Rouku. Komnzo belongs to the Tonda subgroup of the Yam language family, which is also known as the Morehead Upper-Maro group. This grammar provides the first comprehensive description of a Yam language. It is based on 16 months of fieldwork. The primary source of data is a text corpus of around 12 hours recorded and transcribed between 2010 and 2015. Komnzo provides many fields of future research, but the most interesting aspect of its structure lies in the verb morphology, to which the two largest chapters of the grammar are dedicated. Komnzo verbs may index up to two arguments showing agreement in person, number and gender. Verbs encode 18 TAM categories, valency, directionality and deictic status. Morphological complexity lies not only in the amount of categories that verbs may express, but also in the way these are encoded. Komnzo verbs exhibit what may be called â€˜distributed exponenceâ€™, i.e. single morphemes are underspecified for a particular grammatical category. Therefore, morphological material from different sites has to be integrated first, and only after this integration can one arrive at a particular grammatical category. The descriptive approach in this grammar is theory-informed rather than theory-driven. Comparison to other Yam languages and diachronic developments are taken into account whenever it seems helpful.",Attribution,9781946135506
Advanced Waterworks Mathematics,,"Michael Alvord - Author
Regina Blasberg - Editor",Independent,Learning and Understanding Mathematical Concepts in the Areas of Water Distribution and Water Treatment,Attribution,
Introduction to Design Equity ,2018,Kristine Miller - Author,University of Minnesota Libraries Publishing,"Why do affluent, liberal, and design-rich cities like Minneapolis have some of the biggest racial disparities in the country? How can designers help to create more equitable communities? Introduction to Design Equity, an open access book for students and professionals, maps design processes and products against equity research to highlight the pitfalls and potentials of design as a tool for building social justice.",Attribution,
Introduction to Financial Accounting: U.S. GAAP Adaptation,2019,"David Annand, Athabasca University - Author
Donna Marchand, Emmanuel College - Author",Lyryx,"This textbook is an adaptation by D. Marchand and Athabasca University of the original text written by D. Annand and H. Dauderis. It is intended for use in entry-level college and university courses in financial accounting. A corporate approach is utilized consistently throughout the book. The adapted textbook includes multiple ancillary student and instructor resources. Student aids include solutions to all end-of-chapter questions and problems, and randomly-generated spreadsheet problems that cover key concepts of each chapter. These provide unlimited practice and feedback for students. Instructor aids include an exam bank, lecture slides, and a comprehensive end-of-term case assignment. This requires students to prepare 18 different year-end adjusting entries and all four types of financial statements, and to calculate and analyze 16 different financial statement ratios. Unique versions can be created for any number of individual students or groups. Tailored solutions are provided for instructors. Another version of the textbook written by D. Annand and adapted by T. Thompson, including .docx files and ancillary material, can be obtained upon request to D. Annand (davida@athabascau.ca).",Attribution-NonCommercial-ShareAlike,
Law 101: Fundamentals of the Law,2018,Michael H. Martella - Author,Open SUNY,"Law 101: Fundamentals of Law, New York and Federal Law is an attempt to provide basic legal concepts of the law to undergraduates in easily understood plain English. Each chapter covers a different area of the law. Areas of law were selected based on what legal matters undergraduates may typically encounter in their daily lives. The textbook is introductory by nature and not meant as a legal treatise.Facebook",Attribution,
"Lies, Damned Lies, or Statistics: How to Tell the Truth with Statistics",2017,Jonathan A. Poritz - Author,Independent,"This is a first draft of a free (as in speech, not as in beer, [Sta02]) (although it is free as in beer as well) textbook for a one-semester, undergraduate statistics course. It was used for Math 156 at Colorado State Universityâ€“Pueblo in the spring semester of 2017.",Attribution-ShareAlike,
Canadian History: Post-Confederation,2016,John Douglas Belshaw - Author,BCcampus,This textbook introduces aspects of the history of Canada since Confederation. â€œCanadaâ€� in this context includes Newfoundland and all the other parts that come to be aggregated into the Dominion after 1867. Much of this text follows thematic lines. Each chapter moves chronologically but with alternative narratives in mind. What Aboriginal accounts must we place in the foreground? Which structures (economic or social) determine the range of choices available to human agents of history? What environmental questions need to be raised to gain a more complete understanding of choices made in the past and their ramifications?,Attribution,
Management Communication,2017,Multiple Contributors - Author,Independent,"Communication is the heart of business. Short emails, complex reports, private chats, impassioned pitches, formal presentations, and team meetings move information and ideas around an organization, define strategy, and drive decisions. Business communication is concise, direct, clear, and compelling.",Attribution-ShareAlike,
Yet Another Introductory Number Theory Textbook (Cryptology Emphasis Version),2014,Jonathan A. Poritz - Author,Independent,"This version of YAINTT has a particular emphasis on connections to cryptology. The cryptologic material appears in Chapter 4 and Â§Â§5.5 and 5.6, arising naturally (I hope) out of the ambient number theory. The main cryptologic applications â€“ being the RSA cryptosystem, Diffie-Hellman key exchange, and the ElGamal cryptosystem â€“ come out so naturally from considerations of Eulerâ€™s Theorem, primitive roots, and indices that it renders quite ironic G.H. Hardyâ€™s assertion [Har05] of the purity and eternal inapplicability of number theory. Note, however, that once we broach the subject of these cryptologic algorithms, we take the time to make careful definitions for many cryptological concepts and to develop some related ideas of cryptology which have much more tenuous connections to the topic of number theory. This material therefore has something of a different flavor from the rest of the text â€“ as is true of all scholarly work in cryptology (indeed, perhaps in all of computer science), which is clearly a discipline with a different culture from that of â€œpureâ€�mathematics. Obviously, these sections could be skipped by an uninterested reader, or remixed away by an instructor for her own particular class approach.",Attribution-ShareAlike,
APEX PreCalculus,2017,"Amy Givler Chapman, Virginia Military Institute - Author
Meagan Herald, Virginia Military Institute - Author
Jessica Libertini, Virginia Military Institute - Author",APEX Calculus,"This text was written as a prequel to the APEXCalculus series, a threeâ€“volume series on Calculus. This text is not intended to fully prepare students with all of the mathematical knowledge they need to tackle Calculus, rather it is designed to review mathematical concepts that are often stumbling blocks in the Calculus sequence. It starts basic and builds to more complex topics. This text is written so that each section and topic largely stands on its own, making it a good resource for students in Calculus who are struggling with the supporting mathemathics found in Calculus courses. The topics were chosen based on experience; several instructors in the Applied Mathemathics Department at the Virginia Military Institute (VMI) compiled a list of topics that Calculus students commonly struggle with, giving the focus of this text. This allows for a more focused approach; at first glance one of the obvious differences from a standard Pre-Calculus text is its size.",Attribution-NonCommercial,
Fundamentals of Matrix Algebra,2011,"Gregory Hartman, Virginia Military Institute - Author",APEX Calculus,"A college (or advanced high school) level text dealing with the basic principles of matrix and linear algebra. It covers solving systems of linear equations, matrix arithmetic, the determinant, eigenvalues, and linear transformations. Numerous examples are given within the easy to read text. This third edition corrects several errors in the text and updates the font faces.",Attribution-NonCommercial,9781469901732
An Introduction to Matlab and Mathcad,2011,"Troy Siemers, Virginia Military Institute - Author",APEX Calculus,"This textbook, or really a â€œcoursebookâ€� for a college freshman-level class, has been updated for Spring 2014 and provides an introduction to programming and problem solving using both Matlab and Mathcad. We provide a balanced selection of introductory exercises and real-world problems (i.e. no â€œcontrivedâ€� problems). We include many examples and screenshots to guide the reader. We assume no prior knowledge of Matlab or Mathcad.",Attribution-NonCommercial,
Making Games with Python & Pygame,2012,Al Sweigart - Author,Independent,"This book will teach you how to make graphical computer games in the Python programming language using the Pygame library.This book assumes you know a little bit about Python or programming in general. If you donâ€™t know how to program, you can learn by downloading the free book ""Invent Your Own Computer Games with Python"" from http://inventwithpython.com. Or you can jump right into this book and mostly pick it up along the way. This book is for the intermediate programmer who has learned what variables and loops are, but now wants to know, ""What do actual game programs look like?"" There was a long gap after I first learned programming but didnâ€™t really know how to use that skill to make something cool. Itâ€™s my hope that the games in this book will give you enough ideas about how programs work to provide a foundation to implement your own games.",Attribution-NonCommercial-ShareAlike,
Web Accessibility for Developers,2019,Digital Education Strategies - Author,Independent,"Web Accessibility for Developers is a technical book aimed primarily at programmers. Learn how to develop accessible interactivity on the Web and gain expertise using WAI-ARIA, a W3C specification that enables optimal use of assistive technologies, like screen readers, when navigating the Web.",Attribution,
Digital Accessibility as a Business Practice,2018,Digital Education Strategies - Author,Independent,"Most business leaders would agree that reaching the broadest audience is good for a businessâ€™s bottom line. A good portion of that audience will be people with disabilities. How, though, would an organization go about ensuring it is as accessible as it can be to all its potential clients or customers, including people with disabilities? This book has been created to answer this question, and to demystify â€œdigital accessibilityâ€� as a business practice. It brings together all the pieces of the digital accessibility picture, and provides strategies and resources that will help make digital accessibility a part of an organizationâ€™s business culture.",Attribution-ShareAlike,
Professional Web Accessibility Auditing Made Easy,2018,Digital Education Strategies - Author,Independent,"Digital accessibility skills are in high demand, as the world becomes more aware of barriers in digital content that prevent some people from participating in a digital society. These are essential skills for web developers, and essential knowledge for organizations that want to ensure their web content is reaching the broadest audience possible.",Attribution-ShareAlike,
"Write Here, Right Now: An Interactive Introduction to Academic Writing and Research",2018,"Aaron Tucker - Author
Paul Chafe - Author",Independent,"Write Here, Right Now: An interactive Introduction to Academic Writing and Research utilizes PressBooks to create and host a writing e-textbook for first year university students that would effectively integrate into the flipped classroom model. The textbook could also be used for non-flipped classroom designs, as the embedded videos, diagrams and linked modules would act as an all-in-one multimedia textbook geared towards multiple learning styles and disciplines. The components of the textbook, including the embedded videos, could be swapped in and out in order to accommodate a professorâ€™s best idea of his/her own course design.",Attribution,
No Limits,2018,University of Texas at Arlington - Author,Mavs Open Press,"Student Success and First Year Experience are learning community courses at UTA that teach new students academic success skills to aid their transition to college. The goal of the courses is to help students identify their individual needs, determine what resources are appropriate, recognize the faculty role in their development, and formulate a plan for an actively engaged and enriched experience from campus to career. The courses will be taught by Peer Academic Leaders (PALs) and faculty, staff and/or graduate students to provide guidance, raise awareness and understanding of students' majors and help support collaborative and co-curricular opportunities available within the School/College. This open educational resource is the required textbook for both courses.",Attribution,
Agent-Based Evolutionary Game Dynamics,,"Luis R. Izquierdo - Author
Segismundo S. Izquierdo - Author
William H. Sandholm - Author",Independent,"This book is a guide to implement simple agent-based evolutionary models using NetLogo. All the models we implement are agent-based, i.e. individual agents and their interactions are explicitly represented in the models. To formalise agentsâ€™ interactions we use the basic framework of Evolutionary Game Theory. NetLogo is a multi-agent programmable modeling environment used by hundreds of thousands of students, teachers and researchers all around the globe. No coding experience is necessary to fully understand the contents of this book.",Attribution,
Principles of Microeconomics: Scarcity and Social Provisioning,2016,"Erik Dean - Author
Justin Elardo - Author
Mitch Green - Author
Benjamin Wilson - Author
Sebastian Berger - Author",Open Oregon Educational Resources,"Principles of Microeconomics: Scarcity and Social Provisioning takes a pluralistic approach to the standard topics of an introductory microeconomics course. The text builds on the chiefly neoclassical material of the OpenStax Principles of Economics text, adding extensive content from heterodox economic thought. Emphasizing the importance of pluralism and critical thinking, the text presents the method and theory of neoclassical economics alongside critiques thereof and heterodox alternatives in both method and theory. This approach is taken from the outset of the text, where contrasting definitions of economics are discussed in the context of the various ways in which neoclassical and heterodox economists study the subject. The same approachâ€“of theory and method, critique, and alternative theory theory and methodâ€“is taken in the study of consumption, production, and market exchange, as well as in the applied theory chapters. Historical and contemporary examples are given throughout, and both theory and application are presented with a balanced approach. This textbook will be of interest especially to instructors and students who wish to go beyond the traditional approach to the fundamentals of microeconomic theory, and explore the wider spectrum of economic thought. Instructors may contact Open Oregon Educational Resources for quiz question test banks associated with each chapter.",Attribution,
"Digital Foundations: Introduction to Media Design with the Adobe Creative Cloud, Revised Edition",2017,"xtine burrough - Author
Michael Mandiberg - Author",Open Oregon Educational Resources,"Digital Foundations uses formal exercises of the Bauhaus to teach the Adobe Creative Suite. All students of digital design and productionâ€”whether learning in a classroom or on their ownâ€”need to understand the basic principles of design in order to implement them using current software. Far too often design is left out of books that teach software for the trade and academic markets. Consequently, the design software training exercise is often a lost opportunity for visual learning. This revised edition updates the original text for use with Adobe Creative Cloud 2017 software.",Attribution-NonCommercial-ShareAlike,
Environmental Biology,2018,Matthew R. Fisher - Editor,Open Oregon Educational Resources,"This open textbook covers the most salient environmental issues, from a biological perspective. The text is designed for an introductory-level college science course. Topics include the fundamentals of ecology, biodiversity, pollution, climate change, food production, and human population growth.",Attribution,9789463661324
Introduction to the American Criminal Justice System,,"Alison S. Burke, Southern Oregon University - Author
David E. Carter, Southern Oregon University - Author
Brian Fedorek, Southern Oregon University - Author
Tiffany L. Morey, Southern Oregon University - Author
Lore Rutz-Burri, Southern Oregon University - Author
Shanell Sanchez, Southern Oregon University - Author",Open Oregon Educational Resources,"There is a dearth of OER textbooks in Criminology and Criminal Justice, which made creating this textbook all the more exciting. At times we faced challenges about what or how much to cover, but our primary goal was to make sure this book was as in-depth as the two textbooks we were currently using for our CCJ 230 introduction course. The only way we were willing to undertake this project as if it was as good, or better than the current books students read. We have had very positive feedback about the required textbooks in the course but consistently heard how expensive the books were to buy. We also needed to ensure we met the learning outcomes outlined by SOU for a general education course, as well as the state of Oregon, to make sure this textbook helps students meet those outcomes.",Attribution-ShareAlike,9789463661416
"The Delft Sand, Clay & Rock Cutting Model",2019,Sape A. Miedema - Author,TU Delft Open,"In dredging, trenching, (deep sea) mining, drilling, tunnel boring and many other applications, sand, clay or rock has to be excavated. This book gives an overview of cutting theories. It starts with a generic model, which is valid for all types of soil (sand, clay and rock) after which the specifics of dry sand, water saturated sand, clay, atmospheric rock and hyperbaric rock are covered. For each soil type small blade angles and large blade angles, resulting in a wedge in front of the blade, are discussed. For each case considered, the equations/model for the cutting forces, power and specific energy are given. The models are verified with laboratory research, mainly at the Delft University of Technology, but also with data from literature.",Attribution-NonCommercial-ShareAlike,9781719584463
"Slurry Transport: Fundamentals, A Historical Overview & The Delft Head Loss & Limit Deposit Velocity Framework 2nd Edition",2019,Sape A. Miedema - Author,TU Delft Open,"In dredging, trenching, (deep sea) mining, drilling, tunnel boring and many other applications, sand, clay or rock has to be excavated.The book covers horizontal transport of settling slurries (Newtonian slurries). Non-settling (non-Newtonian) slurries are not covered.",Attribution-NonCommercial-ShareAlike,
Phylogenetic Comparative Methods,2019,Luke J. Harmon - Author,Independent,This is a book about Phylogenetic Comparative Methods by Luke J. Harmon.,Attribution,9780998625775
Learning to Learn Online,2018,"Kwantlen Polytechnic University Learning Centres - Author
Christina Page - Author
Adam Vincent - Author",Independent,"Learning to Learn Online helps you prepare for online learning success by introducing you to the online learning environment and your role as a learner within it. As you come to understand yourself as an self-directed learner, you will also be introduced to effective learning strategies: time management for online learners, information management, professional communication, and reading strategies. Welcome to your online learning journey!",Attribution-ShareAlike,9781947172678
Principles of Management,2019,Contributing Authors - Author,OpenStax,"Principles of Management is designed to meet the scope and sequence requirements of the introductory course on management. This is a traditional approach to management using the leading, planning, organizing, and controlling approach. Management is a broad business discipline, and the Principles of Management course covers many management areas such as human resource management and strategic management, as well behavioral areas such as motivation. No one individual can be an expert in all areas of management, so an additional benefit of this text is that specialists in a variety of areas have authored individual chapters.",Attribution,9781947172593
Principles of Accounting Volume 1 Financial Accounting,2019,Contributing Authors - Author,OpenStax,"Principles of Accounting is designed to meet the scope and sequence requirements of a two-semester accounting course that covers the fundamentals of financial and managerial accounting. Due to the comprehensive nature of the material, we are offering the book in two volumes. This book is specifically designed to appeal to both accounting and non-accounting majors, exposing students to the core concepts of accounting in familiar ways to build a strong foundation that can be applied across business fields. Each chapter opens with a relatable real-life scenario for todayâ€™s college student. Thoughtfully designed examples are presented throughout each chapter, allowing students to build on emerging accounting knowledge. Concepts are further reinforced through applicable connections to more detailed business processes. Students are immersed in the â€œwhyâ€� as well as the â€œhowâ€� aspects of accounting in order to reinforce concepts and promote comprehension over rote memorization.",Attribution-NonCommercial-ShareAlike,
Principles of Accounting Volume 2 Managerial Accounting,2019,Contributing Authors - Author,OpenStax,"Principles of Accounting is designed to meet the scope and sequence requirements of a two-semester accounting course that covers the fundamentals of financial and managerial accounting. Due to the comprehensive nature of the material, we are offering the book in two volumes. This book is specifically designed to appeal to both accounting and non-accounting majors, exposing students to the core concepts of accounting in familiar ways to build a strong foundation that can be applied across business fields. Each chapter opens with a relatable real-life scenario for todayâ€™s college student. Thoughtfully designed examples are presented throughout each chapter, allowing students to build on emerging accounting knowledge. Concepts are further reinforced through applicable connections to more detailed business processes. Students are immersed in the â€œwhyâ€� as well as the â€œhowâ€� aspects of accounting in order to reinforce concepts and promote comprehension over rote memorization.",Attribution-NonCommercial-ShareAlike,9789463661607
Oregon Writes Open Writing Text,2018,Jenn Kepka - Author,Open Oregon Educational Resources,"This textbook guides students through rhetorical and assignment analysis, the writing process, researching, citing, rhetorical modes, and critical reading. Using accessible but rigorous readings by professionals throughout the college composition field, the Oregon Writes Writing Textbook aligns directly to the statewide writing outcomes for English Composition courses in Oregon.",Attribution,
Building Information - Representation and Management: Fundamentals and Principles ,2019,Alexander Koutamanis - Author,TU Delft Open,"The book presents a coherent theory of building information, focusing on its representation and management in the digital era. It addresses issues such as the information explosion and the structure of analogue building representations to propose a parsimonious approach to the deployment and utilization of symbolic digital technologies like BIM.",Attribution-NonCommercial-ShareAlike,
Western Civilization: A Concise History -  Volume 1,2019,Christopher Brooks - Author,Portland Community College,"Western Civilization: A Concise Historyâ€‹ is an Open Educational Resource textbook covering the history of Western Civilization from approximately 8,000 BCE to 2017 CE. It is available in three volumes covering the following time periods and topics: Volume 1: from the origins of civilization in Mesopotamia c. 8,000 BCE through the early Middle Ages in Europe c. 1,000 CE. Volume 1 covers topics including Mesopotamia,Egypt, Persia, Greece, Rome, the Islamic caliphates, and the early European Middle Ages. Volume 2: from the early Middle Ages to the French Revolution in 1789 CE. Volume 2covers topics including the High Middle Ages, the Renaissance, the European conquest of the Americas, the Reformation, the Scientific Revolution, and the Enlightenment. Volume 3: from the Napoleonic era to the recent past. Volume 3 covers topics including the Industrial Revolution, the politics of Europe in the nineteenth century, modern European imperialism, the world wars, fascism, Nazism, and the Holocaust, the postwar era, the Cold War, and recent developments in economics and politics.",Attribution-NonCommercial-ShareAlike,
Western Civilization: A Concise History -  Volume 2,2019,Christopher Brooks - Author,Portland Community College,"Western Civilization: A Concise Historyâ€‹ is an Open Educational Resource textbook covering the history of Western Civilization from approximately 8,000 BCE to 2017 CE. It is available in three volumes covering the following time periods and topics: Volume 1: from the origins of civilization in Mesopotamia c. 8,000 BCE through the early Middle Ages in Europe c. 1,000 CE. Volume 1 covers topics including Mesopotamia,Egypt, Persia, Greece, Rome, the Islamic caliphates, and the early European Middle Ages. Volume 2: from the early Middle Ages to the French Revolution in 1789 CE. Volume 2covers topics including the High Middle Ages, the Renaissance, the European conquest of the Americas, the Reformation, the Scientific Revolution, and the Enlightenment. Volume 3: from the Napoleonic era to the recent past. Volume 3 covers topics including the Industrial Revolution, the politics of Europe in the nineteenth century, modern European imperialism, the world wars, fascism, Nazism, and the Holocaust, the postwar era, the Cold War, and recent developments in economics and politics.",Attribution-NonCommercial-ShareAlike,
Western Civilization: A Concise History -  Volume 3,2019,Christopher Brooks - Author,Portland Community College,"Western Civilization: A Concise Historyâ€‹ is an Open Educational Resource textbook covering the history of Western Civilization from approximately 8,000 BCE to 2017 CE. It is available in three volumes covering the following time periods and topics: Volume 1: from the origins of civilization in Mesopotamia c. 8,000 BCE through the early Middle Ages in Europe c. 1,000 CE. Volume 1 covers topics including Mesopotamia,Egypt, Persia, Greece, Rome, the Islamic caliphates, and the early European Middle Ages. Volume 2: from the early Middle Ages to the French Revolution in 1789 CE. Volume 2covers topics including the High Middle Ages, the Renaissance, the European conquest of the Americas, the Reformation, the Scientific Revolution, and the Enlightenment. Volume 3: from the Napoleonic era to the recent past. Volume 3 covers topics including the Industrial Revolution, the politics of Europe in the nineteenth century, modern European imperialism, the world wars, fascism, Nazism, and the Holocaust, the postwar era, the Cold War, and recent developments in economics and politics.",Attribution-NonCommercial-ShareAlike,
An Introduction to Psychological Statistics,2018,"Garett C. Foster, University of Missouri-St. Louis - Author
David Lane, Rice University - Author
David Scott, Rice University - Author
Mikki Hebl, Rice University - Author
Rudy Guerra, Rice University - Author
Dan Osherson, Rice University - Author
Heidi Zimmer, University of Houston - Author",University of Missouri - St. Louis,"We are constantly bombarded by information, and finding a way to filter that information in an objective way is crucial to surviving this onslaught with your sanity intact. This is what statistics, and logic we use in it, enables us to do. Through the lens of statistics, we learn to find the signal hidden in the noise when it is there and to know when an apparent trend or pattern is really just randomness. The study of statistics involves math and relies upon calculations of numbers. But it also relies heavily on how the numbers are chosen and how the statistics are interpreted.",Attribution-NonCommercial-ShareAlike,
First Semester in Numerical Analysis with Julia,2019,"Giray Ã–kten, Florida State University - Author",Florida State University,"First Semester in Numerical Analysis with Julia presents the theory and methods, together with the implementation of the algorithms using the Julia programming language (version 1.1.0). The book covers computer arithmetic, root-finding, numerical quadrature and differentiation, and approximation theory. The reader is expected to have studied calculus and linear algebra. Some familiarity with a programming language is beneficial, but not required. The programming language Julia will be introduced in the book. The simplicity of Julia allows bypassing the pseudocode and writing a computer code directly after the description of a method while minimizing the distraction the presentation of a computer code might cause to the flow of the main narrative.",Attribution-NonCommercial-ShareAlike,9781466229105
An Introduction to Nutrition,2012,"Maureen Zimmerman, Mesa Community College - Author
Beth Snow, University of British Columbia - Author",Independent,"Welcome to Essentials of Nutrition: A Functional Approach! This book is written for students who are not majoring in nutrition, but want to learn about the fundamental aspects of nutrition and how it applies to their own lives. We have written this book with the assumption that you have little or no prior knowledge of college level chemistry, biology, or physiology. But that does not mean itâ€™s not scientific! Nutrition is a science-based discipline, so all the material included is backed up by rigorous scientific research, but it is presented in a clear, easy-to-understand fashion without requiring a background in science.",Attribution-NonCommercial-ShareAlike,
A Short Handbook for writing essays in the Humanities and Social Sciences ,2019,"Salvatore Allosso - Author
Dan Allosso - Author",Independent,"A retired master teacher of English and Comparative Literature teams up with his son, a History professor, on a new version of the writing manual he wrote and used for decades at the University of California, Davis.",Attribution-NonCommercial-ShareAlike,9781940771465
Thermodynamics and Chemistry,2019,"Howard DeVoe, University of Maryland - Author",Howard DeVoe,Thermodynamics and Chemistry is designed primarily as a textbook for a one-semester course in classical chemical thermodynamics at the graduate or undergraduate level. It can also serve as a supplementary text and thermodynamics reference source.,Attribution,9781940771496
Becoming America: An Exploration of American Literature from Precolonial to Post-Revolution ,,"Wendy Kurant, University of North Georgia - Author",University of North Georgia Press,"The University of North Georgia Press and Affordable Learning Georgia bring you Becoming America: An Exploration of American Literature from Precolonial to Post-Revolution. Featuring sixty-nine authors and full texts of their works, the selections in this open anthology represent the diverse voices in early American literature. This completely-open anthology will connect students to the conversation of literature that is embedded in American history and has helped shaped its culture. Features: Contextualizing introductions from Pre- and Early Colonial Literature to Early American Romanticism Over 70 historical images In-depth biographies of each author Instructional Design, including Reading and Review Questions This textbook is an open Educational Resource. It can be reused, remixed, and reedited freely without seeking permission.",Attribution-ShareAlike,9780989887816
Breheâ€™s Grammar Anatomy ,,"Steven Brehe, University of North Georgia - Author",University of North Georgia Press,"Breheâ€™s Grammar Anatomy makes grammar accessible to general and specialist readers alike. This book provides an in-depth look at beginner grammar terms and concepts, providing clear examples with limited technical jargon. Whether for academic or personal use, Breheâ€™s Grammar Anatomy is the perfect addition to any resource library. Features: Practice exercises at the end of each chapter, with answers in the back of the book, to help students test and correct their comprehension Full glossary and index with cross-references Easy-to-read language supports readers at every learning stage",Attribution-ShareAlike,
Creating Online Learning Experiences ,2018,"Matt Crosslin, University of Texas at Arlington - Author
Brett Benham, University of Texas at Arlington - Author
Justin T. Dellinger, University of Texas at Arlington - Author
Amber Patterson, City of Mesquite, Texas - Author
Peggy Semingson, The University of Texas at Arlington - Author
Catherine A. Spann, University of Colorado - Author
Brittany Usman, University of Texas at Arlington - Author
Harriet Watkins - Author
Justin T. Dellinger, University of Texas at Arlington - Editor
Rebecca Heiser, Penn State University - Editor
Katerina Riviou, Greece & Open University of Netherlands - Editor
Brittany Usman, University of Texas at Arlington - Editor",Mavs Open Press,"This book provides an updated look at issues that comprise the online learning experience creation process. As online learning evolves, the lines and distinctions between various classifications of courses has blurred and often vanished. Classic elements of instructional design remain relevant at the same time that newer concepts of learning experience are growing in importance. However, problematic issues new and old still have to be addressed. This handbook explores many of these topics for new and experienced designers alike, whether creating traditional online courses, open learning experiences, or anything in between.",Attribution-NonCommercial,9781783747016
